region,class,class_id,beta_mean,beta_std,D1_variogram_mean,D1_variogram_std,D1_variogram_n,D1_boxcount_mean,D1_boxcount_std,D1_boxcount_n,D1_psd_derived_mean,D1_psd_derived_std,D1_psd_derived_n,D1_dfa_mean,D1_dfa_std,D1_dfa_n,D1_roughness_length_mean,D1_roughness_length_std,D1_roughness_length_n
Kansas_Plains,smooth_flat,1,3.519442130892504,0.17966078586989462,1.576840227289911,0.0665596075420863,50,1.207286156339352,0.04047295239407258,50,0.7402789345537483,0.0898303929349473,50,0.6168330414163338,0.06575432129299959,44,1.3947132139652152,0.06936364018641027,50
Iowa_Farmland,smooth_flat,1,3.402347987343876,0.14640193762752418,1.5264467459462137,0.05302963756405726,50,1.1895480707856267,0.036693153744110904,50,0.798826006328062,0.07320096881376209,50,0.5932478047698989,0.06412936498486942,32,1.3778676610480687,0.06230133742621315,50
Nebraska_Sandhills,smooth_flat,1,3.0906427241109435,0.12198023025930604,1.5883002592239992,0.027019642829185207,50,1.1864757523443807,0.01905320298574811,50,0.9546786379445283,0.06099011512965302,50,0.6154392151849916,0.05417636252050246,49,1.3379013197574259,0.04739297910882329,50
Florida_Panhandle,smooth_flat,1,3.7500692659741817,0.15565777102814427,1.515834261775072,0.038589969935918254,50,1.170718320427667,0.03621193967774563,50,0.6379837642794207,0.0665817107980812,46,0.5757561100679575,0.06700543960727348,27,1.304147887908478,0.06952385858309726,50
Texas_Permian,smooth_flat,1,3.266177274905623,0.2906561971769435,1.3354896798488824,0.07766773408741551,50,1.0512477843391232,0.02319238949545648,50,0.8745438269538542,0.13652309779274413,49,,,0,1.2031695653720456,0.05885942494649905,50
Oregon_Coast,rolling,2,3.605862779693143,0.20948685206240328,1.4925891525760597,0.08526835001648325,50,1.1932152520706176,0.05117738947667862,50,0.6970686101534281,0.10474342603120163,50,0.6047199429501361,0.08145396753446323,37,1.2982445546996633,0.08607549414245318,50
Virginia_Piedmont,rolling,2,2.981236803746768,0.13127694190756387,1.5831800647013918,0.040795805593684634,50,1.253058787973756,0.03642614241070801,50,1.0093815981266163,0.06563847095378193,50,0.6340696462891021,0.053071186207769974,48,1.4661712593163798,0.04877336061742012,50
Missouri_Ozarks,rolling,2,3.812777177222901,0.11942183896263785,1.6376117240369044,0.026964285224559587,50,1.284082482239828,0.02535388930648997,50,0.5957896924087529,0.058317335639415296,49,0.7679009906764448,0.05724293629957157,50,1.494322852509289,0.04865400349036937,50
Wisconsin_Driftless,rolling,2,3.814726095469496,0.28200494558953737,1.5979956293332065,0.03739842351623384,50,1.258308317127517,0.034349421170479726,50,0.610546690327235,0.1441852260566508,43,0.6723872944770932,0.06223490790036631,50,1.4305720807005915,0.047817106910838125,50
Tennessee_Valley,rolling,2,3.7518562534408693,0.1987834909240695,1.3687365333226753,0.05704088779947158,50,1.1149108511366013,0.019189335317469313,50,0.6531803010767542,0.08007033697550582,42,0.560555199911963,0.01294539822805593,3,1.1523002450445115,0.03505257733634813,50
Appalachian_Ridge,rocky,3,4.05057981290942,0.1296570775544149,1.4075922581070466,0.03837066256369596,50,1.1206630941798414,0.021873894116050906,50,0.5556190774294112,0.03870497281346702,15,,,0,1.2068148344009315,0.05118692448149259,50
Sedona_Arizona,rocky,3,3.829592771080653,0.2256171103807154,1.450504491031364,0.050920730477591325,50,1.0891945130426235,0.03266858687006445,50,0.6343844046196482,0.08553957943620843,37,0.5367296195721933,0.008931615034436735,2,1.2056099367620154,0.07336894592446266,50
Kentucky_Karst,rocky,3,3.560200650670419,0.18168696112047586,1.639741189250329,0.03248113621866403,50,1.2567575291302375,0.033754358927511094,50,0.7198996746647905,0.09084348056023793,50,0.7125812287831522,0.06785810899948344,50,1.4546941122166561,0.04192293718003243,50
Black_Hills_SD,rocky,3,3.685259014116564,0.12212842665980495,1.5088719438761506,0.05515546444998062,50,1.1206780101141494,0.03015963291552163,50,0.6573704929417181,0.06106421332990247,50,0.5520238633712075,0.03627997594032845,19,1.3357331654538283,0.06325662868566212,50
Bryce_Canyon_UT,rocky,3,3.7187891609302115,0.16669018779792114,1.339313426158953,0.06548725189400469,50,1.0866239775063948,0.03662626578312258,50,0.6477228557355793,0.07720984579749551,48,0.5278698671266967,0.016799669852449666,3,1.239234511747343,0.07248982125160905,50
Badlands_SD,rough,4,3.124459234871196,0.3131953085670176,1.5226048063106665,0.049652092817230355,50,1.1770364300768827,0.027711115316913774,50,0.937770382564402,0.1565976542835088,50,0.5624938651607441,0.03754538076163045,32,1.3613961931576788,0.05189894026140683,50
